t,hares [x],lynx [y]
1899.959488,297594.7072,41182.22279
1901.004976,464083.7731,59800.96055
1901.967484,697940.5955,99015.69908
1902.999058,767101.7744,351592.9582
1903.967266,362727.0416,581716.2542
1904.98638,197927.7434,416915.0003
1905.961908,177249.6012,192224.7771
1906.942241,210843.5149,128496.671
1907.964875,218234.2932,81609.52618
1908.989129,248092.7249,89000.30454
1910.012712,276071.681,73931.2526
1911.0159,397637.1749,75709.02914
1912.041495,564116.4621,128019.4681
1913.00473,762421.6652,191565.6894
1914.036528,517141.3085,451629.5586
1915.020438,193253.5015,507687.2141
1916.017144,108931.3504,292353.2978
1916.995354,73279.98793,157502.3958
1918.017484,144306.9521,93770.37821
1918.978875,157314.6438,95552.06625
1920.00257,245190.3922,84226.31936
